instruction,texts,labels
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Un vellaiya paaru.. none of ur business..,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,இதுமீடியாவின்வேலை.எம்பிஎலக்சன்வருதேஅதனால்தான்இப்பவேஆரம்பித்துவிட்டார்கள்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அருமை சீமான் அண்ணா மிகவும் அருமை வாழ்த்துக்கள் அண்ணா நாம் தமிழர் 💐💐💐🎉🎉🎉👌👌👌👌✨️⭐️⭐️👍👍👍👍🦁🦁🦁🦁😂😂🎊,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"நாமெல்லாம் தொடர்ந்து இணையத்தின் வாயிலாக எழுதும் இடுகைகளான கருத்துக்கள், பதில்கள், துவீட்டுகள், பதிவுகள், பிலாக்குகள் போன்றவை அரசுகளுக்கும், பெருநிறுவனங்களுக்கும், நம் மொத்த மக்களின் விருப்பு வெறுப்புகளையும் நம் எண்ணப் போக்குகளையும் கணிக்கப் பயன்படும் பெருந்தரவுகளாக அமைகின்றன. ஆக, தங்கள் நிறுவனத்தின் சேவைகளை, மக்களுக்கு, எந்த மொழியில் கூடுதலாக அளித்திடவேண்டும், என முடிவு செய்ய உதவிடும் காரணிகளில் ஒன்றாக, இணையத்தில் பெரும்பாலும் நாம் எழுதிடும் மொழியும் எழுத்துக்களும், நேரடியாகவோ மறைமுகமாகவோ அமைந்துவிடுகின்றன... இதை நாம் நன்கு புரிந்துகொள்ளவேண்டும்..",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Co-operation is very important for our Tamilnadu.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"வடகலையார்கள் செய்வது அடாவடி ... எதற்காக வடகலை என்ற சொல்வழக்கு வந்தது என்று தெரிந்துக்கொண்டு மல்லுக்கட்டினால் பரவாயில்லை. அதை விட்டு நான்தான் நான்தான் என்று ஒரு சாதாரண மனிதனாக ஏன் இருக்க வேண்டும். அப்ப எதற்காக நீங்கள் பாசுரமும், பிரபந்தமும் கற்க வேண்டும். இறைவனை அடைய வேண்டுமென ஆழ்வார்கள் பாடி தொண்டுதான் புரிந்தனரே தவிர அதை போல தொண்டைதான் எதிர்பார்க்க வேண்டுமே தவிர ஜம்பத்திற்கு நான்தான் நான்தான் என்று மார்தட்டி என்ன லாபம். முழுவதுமாக அந்த ஆண்டவனிடமே முறையிடும் அவரே உங்களுக்கு நல்லது செய்வான். அதை விட்டு நான்தான் என்று மல்லுக்கட்ட வேண்டாம். ஆனால் வடகலையார்கள் எந்த கோவிலில் அடி எடுத்து வைத்தாலும் அந்த கோவில் எந்த சம்பிரதாயமாக இருந்தாலும் எம்பெருமானுக்கே நாமத்தை சாற்ற நினைப்பது என்பது வேதனையான உண்மை. முழுமூச்சாக நாம வேலைகளை மட்டுமே பார்க்கின்றீர்களே ஒழிய வேறு எந்தவிதமான கைங்கர்யங்களும் கிடையாது.",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @krishharasha5832  dai enga veetu pakkam ,2ndu veedu kattitanga 4 months la with low salary",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நாம் தமிழர் கட்சியின் வெற்றியை எதிர் பார்த்து கொண்டு இருக்கிறேன்.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"நீங்கள் பேசுவது சரி ஆனால் இந்த அரசு சாராயக்கடைகளை நடத்துவதிலும், ஊழல் செய்வதிலும் புரட்சிசெய்கிறது. தமிழன் திருந்தவேண்டுமென்றால் முதலில் சாராயக்கடைகளை மூடவேண்டும் அடுத்து ரேஷன் கடைகளையும் மூடவேண்டும்.",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Tamilnadu people pathukappuvendum,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அறிவு எல்லாம் எந்தக் காலத்திலும் வளராது அவன் குடும்பம் நன்றாக செழித்து வளர்ந்து நல்ல பயன் பெறும்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,இவனுக கடையில் சரக்கு வாங்காதீர்கள்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,விழித்து கொண்டு செயல்படவேண்டும். இல்லையென்றால் தமிழர்கள் அனைவரும் அகதிகளாகி விடுவோம்.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @shanmugamvenkatesan5514  daii notha neeyum un nommaum thinnuda kena boomer kelattu pu ....,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Enda ula irukera tamilaruke patukapu kudukamatanunga vada manitavanuku kudupangala tui.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வடக்கனை வேரோடு அடித்து விரட்ட வேண்டும்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @mragul325  dei oru ponnu kitta eppidi pesunumo teriyathu,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @rajcho6905  poda puda unaku enna vathu avunga istam ne yaru da tha soldrathuku,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"அதிக அளவில் சம்பளம் கொடுக்கணும், ஓனர் கடனாளி ஆனாலும் பரவாயில்லை,அதை தீர்க்க எந்த மொண்ணை நாயும் வரமாட்டான் நான் பட்டுருக்கேன்,நாம் அடுத்த மாநிலத்துக்கு போலாம் அடுத்தவன் இங்க வர கூடாது, காது குத்து,கல்யாணம், பக்கத்து வீட்டு பெண் வயசுக்கு வந்தாலும் லீவு வேணும்",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Nanbha தேவை இல்லாத பேட்டி avungaluku இதெல்லாம் ஒரு advantage .... Ini varum காலங்களில்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"super bro, pls do video from thirupur",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நம் தமிழ் மக்கள் மற்ற மாநிலத்தில் உள்ளனர்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Thamil makkal,mozhi,inam, ellam azhinthuvidum enru ninaikurean. Orea kavalaya irukku.",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,ஒற்றுமை உள்ளவன் அவன் பெரியவனா?? ஒற்றுமை இல்லாத நம்ம பெரிய ஆளா??,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Siman anna plz ningha cm aaghanum anna plz vangha anna,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,First s**tha mooditu tamilan ku tamilan support pannunga da....aprm north ku pogalam....avanunga tamilangala thooki vaaritu poiduvanungaa😤,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,unnada polliku naliku enga valiku erukuma sollu,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,God is invisible. There is two things that is being followed that. Is one is spiritual and the other one is ceremonial. In the ceremonial part due to lack of discipline this sort of misbehaving takes place.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Nee yaen mukkulathor aah pirika ninaikura😡😡,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,இந்தி காரன் கூட தமிழ் அழக பேசுவான் நீ போய் இந்தி கத்துக்குனு  பேட்டி எடு பா,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,யேன்டா பரதேசி நீ இங்க பொழைக்க வந்துட்டு.எங்கள சொல்லறியா...பன்னாட...தமிழ்நாட்ல தமிழர்கள் தவிர வேற எந்த மொழி பன்னாடைங்கலையும் விட கூடாது..தமிழ்நாட்ல தமிழர்களுக்கே மரியாதை இல்ல...பரதேசிங்க...🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @srp5285  சாவர்க்கர் புடுங்குனான் பொட்டப் பய மாரி மாரி மன்னிப்புக் கடிதம் எழுதிக் கொடுத்தது எதுக்கு அத சொல்லுடா, ஏன்டா அந்தக் காலத்துல திறமையில்லாத அரசன் கிட்ட ஆட்சி அதிகாரம் இருந்தா அது அந்த மன்னருடைய தவறுனால ஆட்சி கைய விட்டுப் போரது இயல்பு, மைசூரை ஆண்ட மன்னரால  திறமையா ஆட்சி நடத்த முடியாதனால ஹைதர் அலி கையில போயிருச்சி,அப்பரோம் வரலாறு இல்லாத அனாதை சாவர்க்கர் வாரிசே இதெல்லாம் உனக்கு. புரியாது,ஹைதர்  அலி சாதாரண சிப்பாயாக இருந்து அவருடைய போர்த் தந்திரத்துனாலையும் திறமையினாலயும் படைத் தளபதி வரைக்கும் போய் அப்பரம் தான் மன்னர் ஆனாரு டா தற்குறிப் பயலே போய் வரலாறு நல்லா படிச்சிட்டு வா வரலாற்ற திரிச்சி சொல்ரதே உன் சங்கி கூட்டத்துக்கு கை வந்த கலை",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,​ @rajcho6905 சும்மா எப்படி அடிப்பாங்க அவுங்க என்ன லூசா.... அவன் என்ன பன்னானு தெரிஞ்சிக்கிட்டு வந்து பேசணும்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @yogeshwaran2530    your 🧠 full of racism bro,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Indha state la racist adhigham. Indian ndra spiritlaa irukkadhu. Inga vela paaka varra other state guys ah nenachaa dha ..........,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நம்மாளுங்க பொது இடத்துலே உச்சா போறாங்க.அதுக்கு?,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Also he is not the owner of jewellery
He owns the shop of plastics goods",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ss avagalaam periya arasiyal link la irukuravaga so avagala ethuvumey pana mudiyathu,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"எந்த ஒரு இந்தி பேசும் தலைவரையோ, அமைச்சரையோ, ஐஏஎஸ், பிசிஎஸ்ஸையோ கொல்லும் துணிச்சல் எந்த அயோக்கியனுக்கும் இல்லை, எல்லா அயோக்கியர்களும் தினக்கூலி தொழிலாளர்கள் மீது தங்கள் ஆண்மையை காட்டுகிறார்கள். உங்களுக்கு தைரியம் இருந்தால் ஏன் ராகுல் காந்தியை கொல்லவில்லை, அவரும் ஹிந்தி தான் பேசுகிறார், தமிழ் பேசமாட்டார், 400 முதல் 500 ரூபாய் சம்பாதிக்க சென்ற கூலித்தொழிலாளிகளை கொல்லும் அயோக்கியர்கள் அனைவரும். ஹிந்தி பேசும் எந்த டாக்டரையோ, இன்ஜினியரையோ ஏன் கொல்லவில்லை. உங்கள் அனைவருக்கும் தைரியம் இருக்கிறது",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நம்ம மேல எந்த தப்பும் இல்லை.... ஏன் என்றால் நாம தான் ஜாதி மதம் னு நம்மளோட பரம்பரைய      காப்பத்திட்டு இருக்கோம்.... அப்பறம் என் நாம           பயப்படனும்..... ஜாதி மதம் நு இருக்குற வரைக்கும் படை எடுத்து கொண்டு தான் இருப்பார்கள்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ennaku nambala maari middle class thamizh makkal nelamaiya nenacha ennaku kannula thanni varuthu anna 😔😭😭... Naanum chennai thaan... Kada peru kooda hindi la ezhuthura maari panni vechi irukanunga ithalam paarkum pothu nejama bro😮‍💨😮‍💨naa romba manam nonthu poren... Thamizh kadavuley muruga nee thaan paa namba manna kaapathunum.. Engalala enna panna mudiyum..,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Dai ne yaru da press..kevalama illaya da kasuku kaga vikura oruthuralanadha ipadi kelvi keka mudiuma irumkum,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Nan kelvi keta aatkaluku tamil theriaadhu..,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,@parithabagal copyrights podunga,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @sumathimathi5605  ரேஷன் கடையில் பிச்சைக்கார அரிசி வாங்க வேண்டிய அவசியம் என்ன வந்தது,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Parithabangal oru strong content video, total media  closed🤣🤣 vera level jii 🔥🔥🔥🔥🔥🔥",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"@TamilEelam1 உங்களின் கடைசிப் புள்ளி, அற்பத்தனத்துடன் உச்சகட்டமாக ஏற்றப்பட்டது. ""தமிழகத்தை சுயேச்சையாக்குவதை தவிர எங்களுக்கு வேறு வழியில்லை"" என்று சொன்னீர்கள்.......... என்ன மாதிரியான டூப் செய்கிறீர்கள் அதனால்தான் நான் உங்களை சுடலையுடன் இணைத்தேன்
",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழ்நாட்டில் இந்திகாரனுக்கு கஇவ்ளோ மீடியா வெளிச்சம்.உ.பியில் இது சாத்தியமா,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Kadaule neril vandha kuda evanga thirundha mattanga,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Avanukku arasiyal pese rights ille nu solla ivanga yaaru..! Kadai ye avan yeduthukuran na unakku vyabarum panna theriyala :/ Veena ponavanga...
Avaan panra yean na Tamil aalungala velaiku vacha Rombo prechana panranga.! Namma olunga treat panna kooda kaasu kudutha odanaya oorukku poiruvanga aprom kupta vara matanga, vada natu Karan vantha 1 ille 2 varuvsham amaithiya iruppan..! Yen nerungia nanban hotel vachi irukku first Tamil karangala thaan vachan.!! Aprom avang avlo prechana pananga..! Yellathukum... vada naatu Karan vantha mudiyum Inna varaikum nandri ya irukanunga",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @mragul325  dei ambala item.. ne avana kalyanam panikriya,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,​ @ravichandran.761  MBC 116 caste irukku  brother vanniyar mattum illa😂,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,போங்கடா வடக்கன் களா உங்ங்க நாட்டுக்கு,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"உத்தர பிரதேசத்தில் மட்டும் 25 கோடி மக்கள் தொகை . வரவன் போறவனையெல்லாம் தமிழ் நாட்டிற்குள் விட்டா தமிழ் நாடு தாங்குமா. வடக்கர்களின் வருகை எண்ணிக்கை யை குறைக்க வேண்டும்.
ஓட்டுரிமை தரக்கூடாது",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ponda Sammy engalaku valai kadikimm,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"நீங்கள் யாரேனும் பெங்காலியைக் கண்டால், அவர்கள் சட்ட விரோதமான ரோஹிங்கியாக்களாக இருக்கலாம் என்று காவல்துறைக்குத் தெரிவிக்கவும்",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @relover9968  ponga boss istathukku pattam podravan la mudaliyar aga mudiyathu , ore mudaliyar senguntha mudaliyar",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"அண்ணா, விரைவில் நம் ஆட்சி வரும், அனைத்திற்கும் தீர்வு கிடைக்கும்",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Bring out more videos like this. Expose them,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @shivan-cz5zi  கடை கூட சொந்த பணத்தில் துவங்குவது தான் ஆனால் இன்ன சாதிக்கு மட்டும் தான் பொருள் விற்பனை செய்வேன் என்று சொன்னால் 
வன்கொடுமை சட்டத்தில் ஜெயிலில் இருப்பாய்
முடி திருத்த மறுத்தவர்கள் ஜெயிலுக்கு போனது நினைவு இல்லையா",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"aabathai munnadiye kanikkira alavuku innum namma alunga valarala , future kanikirathula north thaan . namma aalunga aabathai anubavikum pothu thaan aiyo aabathu vanthutunu unara aarambipaargal.",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழ் நாட்டில் இருந்துகொண்டு இவனுங்க நல்லா இருக்கானுங்க.அவனுங்க ஊர்க்கு போய்பாருங்கள் தெரியும் தமிழ் பேசும் மக்களைக் கண்டாலே திட்டு வானுங்க அடிப்பானுங்க.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Naya modalla Tamil makkaluku padukukapu kodunka,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,bro we want more videos like this to know about the truth.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Intra madiri video pottae vadakans ah valathi vidunga da🥲🥲,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"கொஞ்சம் கூட வாய் கூசாம சொல்றிங்களே திருப்பதில விஷ்ணுவா இருக்கார், முருகன் கோயிலை ராமானுஜர் பாலாஜி கோயிலா மாத்திட்டார்.",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Well said. North Indians aren't here to grab ur jobs nd wealth. Survival of d fittest. U work hard hold ur job. Don't b illiterate diving people,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Hi bro.... This is the end of South India.....,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Avarkal uzhaiththu sambathickirarkal  unnai pondravarkal oru camera vai thuckikondu  you tube channel  arampiththu  uzhaickamal   sambathicki reerkal,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உங்கள் கருத்து வேறுபாடு சன் டிவிக்கு தீனீ போடுகிறது.shed your ego and make peace. Do not make the problem persist for ever.Find an amicable solution.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,future இந்தி காரன்:  உன் கிட்ட Mike நீட்டி  இத அப்படியே திரும்ப கேப்பபான் // ஹரே தமிழ் பைய  எப்படி இருக்க 😂😂😂,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,மிகுந்த  மரியாதை யோட  இப்படி  தான்  கும்பலா  ......என்ன நாயம்  ப்ரோ....,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உங்கள் தமிழ் கடவுள் சோழ வம்சம்   உண்டாக்கியது எல்லாம் வடக்கில் இருந்து வந்தவர்கள் தான்.... போய் சோழர் மெய் கீர்த்தி படிங்க.... தமிழ் நாட்டில் உள்ள பல சமுதாயம் வடக்கில் இருந்து வந்தது தான்....,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,பிச்சை காரனுக்கும் பிச்சைக் காரனுக்கும் சண்டை,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Naainga Ange vaazha vazhi illame Inge thirudi thinna varinga . ..,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"அன்புடையீர்!!, நீங்கள் கட்டாயம் படிக்கவேண்டியது:- நீங்கள் இடும் கருத்துக்களை முடிந்தவரை தயவுசெய்து தமிழில் #தமிழ் எழுத்துக்களில் மட்டுமே  இடுங்கள்... இது ஒரு பணிவான வேண்டுகோள்.. தொடர்ந்து படியுங்கள்..",0
